import time: self [us] | cumulative | imported package
import time:       513 |       6791 |         django.core.signing
import time:       379 |        379 |             django.core.files.temp
import time:       498 |        877 |           django.core.files.uploadedfile
import time:       569 |       1446 |         django.core.files.uploadhandler
import time:      1256 |       1256 |             html.entities
import time:       650 |       1906 |           html
import time:       618 |        618 |           django.utils.datastructures
import time:       584 |        584 |             unicodedata
import time:       542 |        542 |               email
import time:       484 |        484 |               email._parseaddr
import time:       846 |       1871 |             email.utils
import time:       503 |       2957 |           django.utils.http
import time:       602 |       6082 |         django.http.multipartparser
import time:       748 |      15066 |       django.http.request
import time:       541 |        541 |         mimetypes
import time:       486 |        486 |           email.quoprimime
import time:       343 |        343 |           email.base64mime
import time:       617 |        617 |           email.errors
import time:       424 |        424 |               quopri
import time:       613 |       1037 |             email.encoders
import time:       437 |       1474 |           email.charset
import time:      1331 |       4250 |         email.header
import time:       572 |        572 |               email._policybase
import time:      1010 |       1581 |             email.feedparser
import time:       839 |       2420 |           email.parser
import time:       524 |        524 |             email._encoded_words
import time:       400 |        400 |             email.iterators
import time:       760 |       1683 |           email.message
import time:      1837 |       5939 |         http.client
import time:       440 |        440 |                   django.db.models.utils
import time:       545 |        985 |                 django.db.models.signals
import time:       581 |        581 |                       _uuid
import time:       752 |       1332 |                     uuid
import time:      1190 |       1190 |                                         django.template.context
import time:       970 |        970 |                                         django.utils.deprecation
import time:      1075 |       1075 |                                             calendar
import time:       421 |        421 |                                             django.utils.dates
import time:      1346 |       1346 |                                                   sysconfig
import time:        48 |         48 |                                                   _sysconfig
import time:      1212 |       2605 |                                                 zoneinfo._tzpath
import time:       537 |        537 |                                                 zoneinfo._common
import time:       611 |        611 |                                                 _zoneinfo
import time:       502 |       4254 |                                               zoneinfo
import time:       457 |       4711 |                                             django.utils.timezone
import time:       772 |       6978 |                                           django.utils.dateformat
import time:       485 |        485 |                                           django.utils.numberformat
import time:       746 |       8208 |                                         django.utils.formats
import time:       692 |        692 |                                             _markupbase
import time:      1283 |       1975 |                                           html.parser
import time:      2825 |       2825 |                                             django.utils.deconstruct
import time:       988 |        988 |                                             django.utils.ipv6
import time:      1782 |       5595 |                                           django.core.validators
import time:       775 |        775 |                                             gzip
import time:      1400 |       2175 |                                           django.utils.text
import time:       987 |      10730 |                                         django.utils.html
import time:       472 |        472 |                                         django.template.exceptions
import time:      2092 |      23659 |                                       django.template.base
import time:       598 |        598 |                                       django.template.library
import time:       573 |      24829 |                                     django.template.engine
import time:       440 |        440 |                                     django.template.utils
import time:       367 |        367 |                                         django.template.backends
import time:       362 |        362 |                                         django.template.backends.base
import time:       569 |       1297 |                                       django.template.backends.django
import time:       478 |       1775 |                                     django.template.autoreload
import time:       469 |      27512 |                                   django.template
import time:        15 |      27526 |                                 django.template.backends
import time:        20 |      27546 |                               django.template.backends.django
import time:       354 |        354 |                               django.template.loader
import time:       437 |      28336 |                             django.forms.renderers
import time:       546 |      28882 |                           django.forms.utils
import time:       491 |        491 |                             graphlib
import time:       366 |        366 |                               django.templatetags
import time:       736 |       1101 |                             django.templatetags.static
import time:       403 |        403 |                             django.utils.choices
import time:      1132 |       3126 |                           django.forms.widgets
import time:       659 |      32666 |                         django.forms.boundfield
import time:       414 |        414 |                           django.utils.dateparse
import time:       352 |        352 |                           django.utils.duration
import time:      1230 |       1995 |                         django.forms.fields
import time:       550 |        550 |                         django.forms.forms
import time:      1234 |       1234 |                         django.forms.formsets
import time:      1519 |       1519 |                         django.forms.models
import time:       586 |      38548 |                       django.forms
import time:      1027 |       1027 |                       django.db.models.constants
import time:       530 |        530 |                         django.db.transaction
import time:       408 |        408 |                         django.utils.tree
import time:      1051 |       1988 |                       django.db.models.query_utils
import time:      1771 |      43332 |                     django.db.models.fields
import time:       678 |        678 |                     django.db.models.enums
import time:      1824 |      47165 |                   django.db.models.expressions
import time:       640 |        640 |                     django.db.models.functions.comparison
import time:      1396 |       1396 |                       django.db.models.lookups
import time:       887 |       2283 |                     django.db.models.functions.datetime
import time:       618 |        618 |                         django.db.models.fields.mixins
import time:      1448 |       2066 |                       django.db.models.fields.json
import time:       544 |       2610 |                     django.db.models.functions.json
import time:       442 |        442 |                       django.db.models.functions.mixins
import time:      1416 |       1858 |                     django.db.models.functions.math
import time:      2383 |       2383 |                     django.db.models.functions.text
import time:       804 |        804 |                     django.db.models.functions.window
import time:      2894 |      13469 |                   django.db.models.functions
import time:       762 |      61395 |                 django.db.models.aggregates
import time:       375 |        375 |                       django.db.backends
import time:       615 |        990 |                     django.db.backends.utils
import time:       378 |        378 |                         django.db.models.sql.constants
import time:       464 |        464 |                         django.db.models.sql.datastructures
import time:       680 |        680 |                         django.db.models.sql.where
import time:      1274 |       2795 |                       django.db.models.sql.query
import time:       489 |        489 |                       django.db.models.sql.subqueries
import time:       408 |       3692 |                     django.db.models.sql
import time:       540 |       5221 |                   django.db.models.indexes
import time:       756 |       5976 |                 django.db.models.constraints
import time:       573 |        573 |                 django.db.models.deletion
import time:       625 |        625 |                   django.db.models.fields.tuple_lookups
import time:       500 |       1125 |                 django.db.models.fields.composite
import time:       381 |        381 |                   django.core.files.images
import time:       511 |        511 |                     django.core.files.storage.base
import time:       360 |        360 |                       django.core.files.storage.mixins
import time:       506 |        866 |                     django.core.files.storage.filesystem
import time:       392 |        392 |                     django.core.files.storage.handler
import time:       492 |        492 |                     django.core.files.storage.memory
import time:       437 |       2696 |                   django.core.files.storage
import time:       652 |       3728 |                 django.db.models.fields.files
import time:       488 |        488 |                 django.db.models.fields.generated
import time:       536 |        536 |                 django.db.models.fields.proxy
import time:      2110 |       2110 |                   django.db.models.query
import time:      1393 |       3502 |                 django.db.models.manager
import time:       828 |        828 |                     django.db.models.fields.related_descriptors
import time:       564 |        564 |                     django.db.models.fields.related_lookups
import time:       551 |        551 |                     django.db.models.fields.reverse_related
import time:      1439 |       3381 |                   django.db.models.fields.related
import time:       677 |        677 |                   django.db.models.options
import time:      1235 |       5292 |                 django.db.models.base
import time:       609 |      84205 |               django.db.models
import time:       690 |      84895 |             django.core.serializers.base
import time:       541 |      85436 |           django.core.serializers
import time:       465 |        465 |           django.core.serializers.python
import time:       488 |      86388 |         django.core.serializers.json
import time:       928 |      98045 |       django.http.response
import time:       507 |     116354 |     django.http
import time:       400 |        400 |     django.urls.exceptions
